pertSize,reactionTime,initialResponse,subID,blockNo,prevSize,leftResponse,rightResponse,noResponse,nullTrials,correctResponses,incorrectResponses
100,4.75600003802538,-1,2,2,150,1,0,0,0,1,0
200,2.27100108718878,-1,2,2,-150,1,0,0,0,1,0
0,5.68100218689506,-1,2,2,200,1,0,0,1,0,0
-100,7.39499728024384,1,2,2,0,0,1,0,0,1,0
50,5.80799872612988,-1,2,2,-100,1,0,0,0,1,0
-300,2.66800208092172,1,2,2,50,0,1,0,0,1,0
0,5.69099539006129,-1,2,2,-300,1,0,0,1,0,0
-25,7.02300353050668,-1,2,2,0,1,0,0,0,0,1
300,2.17899651515472,-1,2,2,-25,1,0,0,0,1,0
150,3.32700331497472,-1,2,2,300,1,0,0,0,1,0
-200,2.63300387644995,1,2,2,150,0,1,0,0,1,0
-50,4.85200105739204,1,2,2,-200,0,1,0,0,1,0
25,5.3979979846481,-1,2,2,-50,1,0,0,0,1,0
100,5.69099476755218,-1,2,2,25,1,0,0,0,1,0
150,4.71000087010907,-1,2,2,100,1,0,0,0,1,0
-200,3.67999929142388,1,2,2,150,0,1,0,0,1,0
0,6.16100149345584,1,2,2,-200,0,1,0,1,0,0
100,3.39899471497483,-1,2,2,0,1,0,0,0,1,0
-50,6.81699503612617,1,2,2,100,0,1,0,0,1,0
300,3.24499688494689,-1,2,2,-50,1,0,0,0,1,0
0,6.83499522638886,-1,2,2,300,1,0,0,1,0,0
25,7.55400092602213,-1,2,2,0,1,0,0,0,1,0
-300,2.52600104880548,1,2,2,25,0,1,0,0,1,0
-150,2.79899454153201,1,2,2,-300,0,1,0,0,1,0
200,2.47300363779505,-1,2,2,-150,1,0,0,0,1,0
50,6.51999907100253,-1,2,2,200,1,0,0,0,1,0
-25,4.92700083363161,1,2,2,50,0,1,0,0,1,0
-100,5.28099641048902,1,2,2,-25,0,1,0,0,1,0
-150,3.75799444496806,1,2,2,-100,0,1,0,0,1,0
25,4.65100270950643,-1,2,3,100,1,0,0,0,1,0
-50,3.82499825132254,1,2,3,25,0,1,0,0,1,0
-200,2.63600392008084,1,2,3,-50,0,1,0,0,1,0
150,2.29600415849563,-1,2,3,-200,1,0,0,0,1,0
300,2.42700070381397,-1,2,3,150,1,0,0,0,1,0
-25,6.96300569355662,-1,2,3,300,1,0,0,0,0,1
0,6.2310076706417,1,2,3,-25,0,1,0,1,0,0
-300,2.68200591254572,1,2,3,0,0,1,0,0,1,0
50,3.56500475502253,-1,2,3,-300,1,0,0,0,1,0
-100,3.86000376498851,1,2,3,50,0,1,0,0,1,0
0,7.18299880016275,-1,2,3,-100,1,0,0,1,0,0
200,2.22100209117343,-1,2,3,0,1,0,0,0,1,0
-150,2.57399943256314,1,2,3,200,0,1,0,0,1,0
-100,5.04800738167978,1,2,3,-150,0,1,0,0,1,0
-25,7.56100445401535,-1,2,3,-100,1,0,0,0,0,1
50,5.93200015211187,-1,2,3,-25,1,0,0,0,1,0
200,4.30300626587996,1,2,3,50,0,1,0,0,0,1
-150,2.64000805652176,1,2,3,200,0,1,0,0,1,0
-300,2.62900315332809,1,2,3,-150,0,1,0,0,1,0
25,4.4910010784879,-1,2,3,-300,1,0,0,0,1,0
0,7.0400063394336,-1,2,3,25,1,0,0,1,0,0
300,2.4610075589444,-1,2,3,0,1,0,0,0,1,0
-50,6.12000404822902,1,2,3,300,0,1,0,0,1,0
100,3.45600235390884,-1,2,3,-50,1,0,0,0,1,0
0,7.19300466036657,1,2,3,100,0,1,0,1,0,0
-200,2.58000605297275,1,2,3,0,0,1,0,0,1,0
150,2.45100270200055,-1,2,3,-200,1,0,0,0,1,0
100,3.34300063836417,-1,2,3,150,1,0,0,0,1,0
200,2.27000427783059,-1,2,3,-150,1,0,0,0,1,0
0,7.5770016388924,1,2,3,200,0,1,0,1,0,0
-100,3.85000063693587,1,2,3,0,0,1,0,0,1,0
50,4.42899893141293,-1,2,3,-100,1,0,0,0,1,0
-300,4.04399638915493,-1,2,3,50,1,0,0,0,0,1
0,6.81599657154584,-1,2,3,-300,1,0,0,1,0,0
-25,6.9130013244212,1,2,3,0,0,1,0,0,1,0
300,4.57800409126503,-1,2,3,-25,1,0,0,0,1,0
150,4.45799741161318,-1,2,3,300,1,0,0,0,1,0
-200,3.58899984347954,1,2,3,150,0,1,0,0,1,0
-50,4.86899967897625,1,2,3,-200,0,1,0,0,1,0
25,5.61999913954787,-1,2,3,-50,1,0,0,0,1,0
100,4.43299919999117,-1,2,3,25,1,0,0,0,1,0
150,3.77300062203722,-1,2,3,100,1,0,0,0,1,0
-200,2.74200166845549,1,2,3,150,0,1,0,0,1,0
0,5.72699869382632,-1,2,3,-200,1,0,0,1,0,0
100,3.2409981361634,-1,2,3,0,1,0,0,0,1,0
-50,4.86099591696257,1,2,3,100,0,1,0,0,1,0
300,3.50099852753192,-1,2,3,-50,1,0,0,0,1,0
0,7.75400141704449,1,2,3,300,0,1,0,1,0,0
25,4.66099523914454,-1,2,3,0,1,0,0,0,1,0
-300,2.76999483144755,1,2,3,25,0,1,0,0,1,0
-150,2.61100360465207,1,2,3,-300,0,1,0,0,1,0
200,2.42100455856416,-1,2,3,-150,1,0,0,0,1,0
50,4.53199984670209,-1,2,3,200,1,0,0,0,1,0
-25,4.96500220990856,1,2,3,50,0,1,0,0,1,0
-100,3.76199694931711,1,2,3,-25,0,1,0,0,1,0
-150,2.63600387597398,1,2,3,-100,0,1,0,0,1,0
25,6.52799488604069,-1,3,1,100,1,0,0,0,1,0
-50,6.81900053310528,1,3,1,25,0,1,0,0,1,0
-200,1.98199969232519,1,3,1,-50,0,1,0,0,1,0
150,6.93800366592768,-1,3,1,-200,1,0,0,0,1,0
300,3.31999855530739,-1,3,1,150,1,0,0,0,1,0
-25,4.88399796962767,-1,3,1,300,1,0,0,0,0,1
0,8.28199418282748,-1,3,1,-25,1,0,0,1,0,0
-300,2.97100036525808,1,3,1,0,0,1,0,0,1,0
50,NaN,NaN,3,1,-300,0,0,1,0,0,0
-100,5.00399665570876,1,3,1,50,0,1,0,0,1,0
0,2.85199403214938,-1,3,1,-100,1,0,0,1,0,0
200,4.24199409819266,-1,3,1,0,1,0,0,0,1,0
-150,5.7360019435946,1,3,1,200,0,1,0,0,1,0
-100,1.93999986803829,1,3,1,-150,0,1,0,0,1,0
-25,2.94000044703716,1,3,1,-100,0,1,0,0,1,0
50,4.91000016128964,-1,3,1,-25,1,0,0,0,1,0
200,4.05899782085908,-1,3,1,50,1,0,0,0,1,0
-150,2.80899876916374,1,3,1,200,0,1,0,0,1,0
-300,1.41700388920435,1,3,1,-150,0,1,0,0,1,0
25,3.07000284099922,-1,3,1,-300,1,0,0,0,1,0
0,5.72099758112745,-1,3,1,25,1,0,0,1,0,0
300,2.30799749648577,-1,3,1,0,1,0,0,0,1,0
-50,3.01700185549271,-1,3,1,300,1,0,0,0,0,1
100,1.48799588990369,-1,3,1,-50,1,0,0,0,1,0
0,7.29599534559384,-1,3,1,100,1,0,0,1,0,0
150,3.26299888467474,-1,3,1,-200,1,0,0,0,1,0
100,3.60400064730493,-1,3,1,150,1,0,0,0,1,0
-200,3.24000605678884,1,3,1,100,0,1,0,0,1,0
200,1.41400087344664,-1,3,1,-150,1,0,0,0,1,0
0,3.42800419390551,1,3,1,200,0,1,0,1,0,0
-100,6.31800616538385,1,3,1,0,0,1,0,0,1,0
50,4.72200671077007,-1,3,1,-100,1,0,0,0,1,0
-300,2.34100352728274,1,3,1,50,0,1,0,0,1,0
0,2.16500811684091,-1,3,1,-300,1,0,0,1,0,0
-25,7.16300067055272,-1,3,1,0,1,0,0,0,0,1
300,2.11900354039972,-1,3,1,-25,1,0,0,0,1,0
150,1.67999982011679,-1,3,1,300,1,0,0,0,1,0
-200,1.63600432276871,1,3,1,150,0,1,0,0,1,0
-50,NaN,NaN,3,1,-200,0,0,1,0,0,0
25,4.44100808072108,-1,3,1,-50,1,0,0,0,1,0
100,2.17200695121574,-1,3,1,25,1,0,0,0,1,0
150,3.58000747275219,-1,3,1,100,1,0,0,0,1,0
-200,7.11200335657486,1,3,1,150,0,1,0,0,1,0
0,6.62800156557932,-1,3,1,-200,1,0,0,1,0,0
100,1.25800779915153,-1,3,1,0,1,0,0,0,1,0
-50,6.53899975860259,1,3,1,100,0,1,0,0,1,0
300,1.57400008320838,-1,3,1,-50,1,0,0,0,1,0
0,3.56100613319722,-1,3,1,300,1,0,0,1,0,0
25,6.85000278436928,-1,3,1,0,1,0,0,0,1,0
-300,1.69600602352875,1,3,1,25,0,1,0,0,1,0
-150,1.72199967742199,1,3,1,-300,0,1,0,0,1,0
200,1.41500531673228,-1,3,1,-150,1,0,0,0,1,0
50,2.33800441849598,-1,3,1,200,1,0,0,0,1,0
-25,6.40600023853767,1,3,1,50,0,1,0,0,1,0
-100,8.1200011602632,-1,3,1,-25,1,0,0,0,0,1
-150,3.79300833011075,-1,3,1,-100,1,0,0,0,0,1
25,6.07399931144755,-1,3,2,100,1,0,0,0,1,0
-50,4.1509910277091,-1,3,2,25,1,0,0,0,0,1
-200,3.18099552547937,1,3,2,-50,0,1,0,0,1,0
150,3.71499170779862,-1,3,2,-200,1,0,0,0,1,0
300,1.31999683976028,-1,3,2,150,1,0,0,0,1,0
-25,5.07499941110291,-1,3,2,300,1,0,0,0,0,1
0,4.3289913235858,1,3,2,-25,0,1,0,1,0,0
-300,0.531995173812902,1,3,2,0,0,1,0,0,1,0
50,4.00900039898988,-1,3,2,-300,1,0,0,0,1,0
-100,1.57599493586895,1,3,2,50,0,1,0,0,1,0
0,2.81999508249282,1,3,2,-100,0,1,0,1,0,0
200,2.41199806797522,-1,3,2,0,1,0,0,0,1,0
-150,1.91300048791891,1,3,2,200,0,1,0,0,1,0
-100,2.09499580967531,1,3,2,-150,0,1,0,0,1,0
-25,4.02199988627399,1,3,2,-100,0,1,0,0,1,0
50,4.88199256050575,1,3,2,-25,0,1,0,0,0,1
200,1.38599799239455,-1,3,2,50,1,0,0,0,1,0
-150,3.08799651181471,1,3,2,200,0,1,0,0,1,0
-300,1.73899700390757,1,3,2,-150,0,1,0,0,1,0
25,5.53999493538868,1,3,2,-300,0,1,0,0,0,1
0,3.23199240434042,-1,3,2,25,1,0,0,1,0,0
300,2.34899148857221,-1,3,2,0,1,0,0,0,1,0
-50,3.80899385738303,-1,3,2,300,1,0,0,0,0,1
100,3.36499461018684,-1,3,2,-50,1,0,0,0,1,0
0,2.40699740505079,1,3,2,100,0,1,0,1,0,0
-200,2.18399254250107,1,3,2,0,0,1,0,0,1,0
150,3.78099231982196,-1,3,2,-200,1,0,0,0,1,0
100,2.26999847912521,-1,3,2,150,1,0,0,0,1,0
200,0.985999602911761,-1,3,2,-150,1,0,0,0,1,0
0,1.88700219595194,-1,3,2,200,1,0,0,1,0,0
-100,0.987995537994721,1,3,2,0,0,1,0,0,1,0
50,3.48999723684392,-1,3,2,-100,1,0,0,0,1,0
-300,0.593993060349021,1,3,2,50,0,1,0,0,1,0
0,1.63599743616214,1,3,2,-300,0,1,0,1,0,0
-25,2.77099813079258,-1,3,2,0,1,0,0,0,0,1
300,1.18499296760274,-1,3,2,-25,1,0,0,0,1,0
150,1.12999404835136,-1,3,2,300,1,0,0,0,1,0
-200,6.03599705278612,1,3,2,150,0,1,0,0,1,0
-50,2.34100214480713,1,3,2,-200,0,1,0,0,1,0
25,3.80699966000975,-1,3,2,-50,1,0,0,0,1,0
100,5.46499338471767,-1,3,2,25,1,0,0,0,1,0
150,1.58400132679526,-1,3,2,100,1,0,0,0,1,0
-200,0.309993566508638,1,3,2,150,0,1,0,0,1,0
0,2.44000051068724,-1,3,2,-200,1,0,0,1,0,0
100,2.93499878764123,-1,3,2,0,1,0,0,0,1,0
-50,6.84299699103576,-1,3,2,100,1,0,0,0,0,1
300,2.17699572347919,-1,3,2,-50,1,0,0,0,1,0
0,2.71299845528119,-1,3,2,300,1,0,0,1,0,0
25,2.30999403703026,-1,3,2,0,1,0,0,0,1,0
-300,0.459001292343601,1,3,2,25,0,1,0,0,1,0
